Date : 2026-05-29 18:16:40
Directory : c:\Users\oggy_\Develop\Repos\Harite
Total : 316 files,  35607 codes, 590 comments, 10681 blanks, all 46878 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase6-lower-controls-responsibility.md        | Markdown     |         85 |          0 |         31 |        116 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase6-owner-layout-consultation-20260418.md   | Markdown     |         78 |          0 |         29 |        107 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase6-planning.md                             | Markdown     |        296 |          0 |         84 |        380 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase6-realignment-notes-20260418.md           | Markdown     |        130 |          0 |         23 |        153 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase6-ui-change-cutlist-20260418.md           | Markdown     |        107 |          0 |         43 |        150 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase6-ui-preconsultation-20260418.md          | Markdown     |         91 |          0 |         27 |        118 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase7-product-alignment-planning.md           | Markdown     |        108 |          0 |         37 |        145 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase7-workstream1-inventory.md                | Markdown     |         28 |          0 |          8 |         36 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase7-workstream2-operation-semantics.md      | Markdown     |        115 |          0 |         50 |        165 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase7-workstream3-watch-responsibility.md     | Markdown     |         52 |          0 |         18 |         70 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase7-workstream4-gui-candidate-recheck.md    | Markdown     |        295 |          0 |         65 |        360 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase8-backlog.md                              | Markdown     |        138 |          0 |         27 |        165 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase8-closing.md                              | Markdown     |         19 |          0 |         10 |         29 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase8-margin-tab-grid-re-layout-contract.md   | Markdown     |         93 |          0 |         17 |        110 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase8-margin-text-placement-note.md           | Markdown     |         35 |          0 |         14 |         49 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase8-planning.md                             | Markdown     |         59 |          0 |         22 |         81 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase8-precedence-audit-memo.md                | Markdown     |        190 |          0 |         63 |        253 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase8-repair-plan.md                          | Markdown     |        122 |          0 |         27 |        149 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase8-resume-planning-after-2weeks-break.md   | Markdown     |         84 |          0 |         41 |        125 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase8-traceability-audit-inventory.md         | Markdown     |         43 |          0 |         16 |         59 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase8-traceability-followup-memo.md           | Markdown     |         80 |          0 |         35 |        115 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase9-11-roadmap.md                           | Markdown     |        125 |          0 |         53 |        178 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\gui-phase9-planning.md                             | Markdown     |        304 |          0 |         92 |        396 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\gui\xfce-heuristics.md                                 | Markdown     |         39 |          0 |         19 |         58 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\watch\harite-watch-minimum-spec.md                     | Markdown     |        102 |          0 |         38 |        140 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\watch\harite-watch-spec.md                             | Markdown     |        134 |          0 |         54 |        188 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\docs\specs\watch\harite-watch-xfce-stability-incident-20260518.md | Markdown     |         59 |          0 |         23 |         82 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\legacy-ui\Glade.py                                                | Python       |         27 |          1 |          7 |         35 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\legacy-ui\README.md                                               | Markdown     |         18 |          0 |         10 |         28 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\meta\agent-rules.md                                               | Markdown     |         68 |          0 |         32 |        100 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\meta\do-it.md                                                     | Markdown     |         27 |          0 |         13 |         40 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\meta\initial-task.md                                              | Markdown     |         16 |          0 |          8 |         24 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\meta\owner-questions.md                                           | Markdown     |         52 |          0 |         31 |         83 |
| c:\Users\oggy_\Develop\Repos\Harite\docs\_initial-build-history\meta\working-tree-review.md                                       | Markdown     |         17 |          0 |          9 |         26 |
